Depth,Simulation Run,Time,Board Number
2,1,0.001002,1
2,2,0.001464,1
2,3,0.000430,1
2,4,0.000674,1
2,5,0.000395,1
2,6,0.000379,1
2,7,0.000394,1
2,8,0.000720,1
2,9,0.000619,1
2,10,0.000907,1
2,11,0.000327,1
2,12,0.000321,1
2,13,0.000291,1
2,14,0.000611,1
2,15,0.000702,1
2,16,0.000355,1
2,17,0.000417,1
2,18,0.000408,1
2,19,0.000335,1
2,20,0.000508,1
2,21,0.000240,1
2,22,0.000243,1
2,23,0.000479,1
2,24,0.000285,1
2,25,0.000242,1
2,26,0.000232,1
2,27,0.000234,1
2,28,0.001096,1
2,29,0.000597,1
2,30,0.000308,1
2,1,0.000197,2
2,2,0.000246,2
2,3,0.000197,2
2,4,0.000192,2
2,5,0.000143,2
2,6,0.000135,2
2,7,0.000138,2
2,8,0.000138,2
2,9,0.000139,2
2,10,0.000180,2
2,11,0.000533,2
2,12,0.000913,2
2,13,0.000152,2
2,14,0.000206,2
2,15,0.000149,2
2,16,0.000216,2
2,17,0.000235,2
2,18,0.000151,2
2,19,0.000138,2
2,20,0.000140,2
2,21,0.000134,2
2,22,0.000080,2
2,23,0.000075,2
2,24,0.000204,2
2,25,0.000141,2
2,26,0.000143,2
2,27,0.000134,2
2,28,0.000131,2
2,29,0.000129,2
2,30,0.007883,2
2,1,0.000275,3
2,2,0.000315,3
2,3,0.000396,3
2,4,0.000260,3
2,5,0.000242,3
2,6,0.000400,3
2,7,0.000245,3
2,8,0.000133,3
2,9,0.000321,3
2,10,0.000139,3
2,11,0.000130,3
2,12,0.000131,3
2,13,0.000123,3
2,14,0.000124,3
2,15,0.000118,3
2,16,0.000123,3
2,17,0.000115,3
2,18,0.000122,3
2,19,0.000120,3
2,20,0.000124,3
2,21,0.000123,3
2,22,0.000122,3
2,23,0.000121,3
2,24,0.000123,3
2,25,0.000120,3
2,26,0.001157,3
2,27,0.000116,3
2,28,0.000122,3
2,29,0.000209,3
2,30,0.000291,3
2,1,0.000421,4
2,2,0.000541,4
2,3,0.000316,4
2,4,0.000141,4
2,5,0.000151,4
2,6,0.000145,4
2,7,0.000139,4
