Depth,Simulation Run,Time,Board Number
6,1,0.563118,1
6,2,0.581046,1
6,3,0.549081,1
6,4,0.547465,1
6,5,0.517480,1
6,6,0.495875,1
6,7,0.472835,1
6,8,0.485975,1
6,9,0.491658,1
6,10,0.472687,1
6,11,0.478198,1
6,12,0.473994,1
6,13,0.475860,1
6,14,0.476349,1
6,15,0.473395,1
6,16,0.475444,1
6,17,0.482042,1
6,18,0.478954,1
6,19,0.486256,1
6,20,0.478206,1
6,21,0.482716,1
6,22,0.476724,1
6,23,0.475075,1
6,24,0.485096,1
6,25,0.482663,1
6,26,0.476005,1
6,27,0.476149,1
6,28,0.486404,1
6,29,0.542131,1
6,30,0.508533,1
6,1,0.485262,2
6,2,0.479391,2
6,3,0.478826,2
6,4,0.477123,2
6,5,0.476479,2
6,6,0.484597,2
6,7,0.477365,2
6,8,0.476957,2
6,9,0.493510,2
6,10,0.482636,2
6,11,0.479566,2
6,12,0.476219,2
6,13,0.476615,2
6,14,0.476891,2
6,15,0.478348,2
6,16,0.475928,2
6,17,0.476374,2
6,18,0.476635,2
6,19,0.475483,2
6,20,0.484458,2
6,21,0.480178,2
6,22,0.510450,2
6,23,0.487211,2
6,24,0.480972,2
6,25,0.477447,2
6,26,0.514789,2
6,27,0.473409,2
6,28,0.474946,2
6,29,0.475115,2
6,30,0.485028,2
6,1,0.482974,3
6,2,0.470138,3
6,3,0.471851,3
6,4,0.482808,3
6,5,0.505986,3
6,6,0.472405,3
6,7,0.468079,3
6,8,0.470818,3
6,9,0.471005,3
6,10,0.563978,3
6,11,0.587197,3
6,12,0.472070,3
6,13,0.506340,3
6,14,0.474735,3
6,15,0.479157,3
6,16,0.472410,3
6,17,0.471480,3
6,18,0.478262,3
6,19,0.476960,3
6,20,0.478297,3
6,21,0.488962,3
6,22,0.477796,3
6,23,0.473599,3
6,24,0.484455,3
6,25,0.527129,3
6,26,0.468908,3
6,27,0.467897,3
6,28,0.469040,3
6,29,0.470610,3
6,30,0.471601,3
6,1,0.486978,4
6,2,0.475298,4
6,3,0.474933,4
6,4,0.474785,4
6,5,0.476400,4
6,6,0.474488,4
6,7,0.473086,4
6,8,0.472950,4
6,9,0.474977,4
6,10,0.472739,4
6,11,0.482325,4
6,12,0.481262,4
6,13,0.473762,4
6,14,0.472754,4
6,15,0.475684,4
6,16,0.473678,4
6,17,0.474309,4
6,18,0.477435,4
6,19,0.473753,4
6,20,0.478259,4
6,21,0.475782,4
6,22,0.479172,4
6,23,0.477180,4
6,24,0.473816,4
6,25,0.481634,4
6,26,0.477736,4
6,27,0.475600,4
6,28,0.473780,4
6,29,0.473477,4
6,30,0.490013,4
6,1,0.749533,5
6,2,0.763520,5
6,3,0.742855,5
6,4,0.752267,5
6,5,0.743111,5
6,6,0.744828,5
6,7,0.743620,5
6,8,0.743733,5
6,9,0.751181,5
6,10,0.743711,5
6,11,0.748548,5
6,12,0.745788,5
6,13,0.743447,5
6,14,0.746350,5
6,15,0.776590,5
6,16,0.739764,5
6,17,0.743597,5
6,18,0.742969,5
6,19,0.743535,5
6,20,0.745518,5
6,21,0.768854,5
6,22,0.891980,5
6,23,0.785424,5
6,24,0.749731,5
6,25,0.741690,5
6,26,0.746017,5
6,27,0.744738,5
6,28,0.745903,5
6,29,0.748720,5
6,30,0.743807,5
6,1,0.504204,6
6,2,0.438287,6
6,3,0.461139,6
6,4,0.445079,6
6,5,0.436224,6
6,6,0.436640,6
6,7,0.436932,6
6,8,0.443128,6
6,9,0.438179,6
6,10,0.437214,6
