Depth,Simulation Run,Time,Board Number
4,1,0.045453,1
4,2,0.023773,1
4,3,0.020029,1
4,4,0.017171,1
4,5,0.020148,1
4,6,0.020731,1
4,7,0.011618,1
4,8,0.011092,1
4,9,0.011670,1
4,10,0.013051,1
4,11,0.010976,1
4,12,0.012620,1
4,13,0.015936,1
4,14,0.010628,1
4,15,0.010998,1
4,16,0.010932,1
4,17,0.011720,1
4,18,0.012813,1
4,19,0.013046,1
4,20,0.013667,1
4,21,0.011721,1
4,22,0.013751,1
4,23,0.016854,1
4,24,0.016364,1
4,25,0.014150,1
4,26,0.012387,1
4,27,0.012265,1
4,28,0.011770,1
4,29,0.012327,1
4,30,0.016845,1
4,1,0.026539,2
4,2,0.017302,2
4,3,0.013662,2
4,4,0.014858,2
4,5,0.013707,2
4,6,0.014923,2
4,7,0.014662,2
4,8,0.014774,2
4,9,0.025045,2
4,10,0.012040,2
4,11,0.011503,2
4,12,0.011010,2
4,13,0.010413,2
4,14,0.010069,2
4,15,0.009940,2
4,16,0.010226,2
4,17,0.012864,2
4,18,0.018181,2
4,19,0.013256,2
4,20,0.018197,2
4,21,0.013982,2
4,22,0.014871,2
4,23,0.012035,2
4,24,0.011992,2
4,25,0.010531,2
4,26,0.009567,2
4,27,0.009726,2
4,28,0.013421,2
4,29,0.009654,2
4,30,0.009683,2
4,1,0.013372,3
4,2,0.009749,3
4,3,0.009644,3
4,4,0.009543,3
4,5,0.009736,3
4,6,0.009795,3
4,7,0.011886,3
4,8,0.011879,3
4,9,0.013020,3
4,10,0.012447,3
4,11,0.015040,3
4,12,0.016067,3
4,13,0.014541,3
4,14,0.016049,3
4,15,0.010173,3
4,16,0.011586,3
4,17,0.013664,3
4,18,0.013256,3
4,19,0.013519,3
4,20,0.013030,3
4,21,0.012590,3
4,22,0.009642,3
4,23,0.009473,3
4,24,0.009568,3
4,25,0.011255,3
4,26,0.011764,3
4,27,0.012859,3
4,28,0.017472,3
4,29,0.019314,3
4,30,0.016165,3
4,1,0.017388,4
4,2,0.019511,4
4,3,0.013469,4
4,4,0.013316,4
4,5,0.017146,4
4,6,0.011446,4
4,7,0.009827,4
4,8,0.009734,4
4,9,0.009918,4
4,10,0.010626,4
4,11,0.010621,4
4,12,0.010346,4
4,13,0.009990,4
4,14,0.009762,4
4,15,0.009714,4
4,16,0.009904,4
4,17,0.009879,4
4,18,0.009582,4
4,19,0.009641,4
4,20,0.009865,4
4,21,0.010836,4
4,22,0.010046,4
4,23,0.010233,4
4,24,0.009795,4
4,25,0.010041,4
4,26,0.010524,4
4,27,0.009879,4
4,28,0.010301,4
4,29,0.009924,4
4,30,0.009807,4
4,1,0.012160,5
4,2,0.011568,5
4,3,0.012666,5
4,4,0.011346,5
4,5,0.011279,5
4,6,0.011114,5
4,7,0.011111,5
4,8,0.011346,5
4,9,0.011245,5
4,10,0.011151,5
4,11,0.012136,5
4,12,0.011415,5
4,13,0.011913,5
4,14,0.011315,5
4,15,0.011419,5
4,16,0.011385,5
4,17,0.011272,5
4,18,0.011189,5
4,19,0.011145,5
4,20,0.013832,5
4,21,0.012978,5
4,22,0.011371,5
4,23,0.011370,5
4,24,0.011322,5
4,25,0.011229,5
4,26,0.011338,5
4,27,0.011316,5
4,28,0.011244,5
4,29,0.011469,5
4,30,0.011355,5
4,1,0.009179,6
4,2,0.008998,6
4,3,0.008707,6
4,4,0.009098,6
