Depth,Simulation Run,Time,Board Number
8,1,0.330346,1
8,2,0.328475,1
8,3,0.267317,1
8,4,0.275796,1
8,5,0.215922,1
8,6,0.214855,1
8,7,0.216023,1
8,8,0.221350,1
8,9,0.222597,1
8,10,0.226714,1
8,11,0.219113,1
8,12,0.214300,1
8,13,0.214106,1
8,14,0.215710,1
8,15,0.216141,1
8,16,0.220229,1
8,17,0.217364,1
8,18,0.216336,1
8,19,0.216103,1
8,20,0.214842,1
8,21,0.218433,1
8,22,0.216904,1
8,23,0.217706,1
8,24,0.215176,1
8,25,0.218243,1
8,26,0.217328,1
8,27,0.221932,1
8,28,0.217569,1
8,29,0.218800,1
8,30,0.219506,1
8,31,0.217941,1
8,32,0.215295,1
8,33,0.219995,1
8,34,0.216540,1
8,35,0.218614,1
8,36,0.216739,1
8,37,0.248310,1
8,38,0.223906,1
8,39,0.216424,1
8,40,0.216861,1
8,41,0.216572,1
8,42,0.214763,1
8,43,0.215337,1
8,44,0.217520,1
8,45,0.218550,1
8,46,0.219978,1
8,47,0.218131,1
8,48,0.218147,1
8,49,0.217580,1
8,50,0.215517,1
8,1,0.188775,2
8,2,0.189897,2
8,3,0.191143,2
8,4,0.190691,2
8,5,0.188686,2
8,6,0.188232,2
8,7,0.193755,2
8,8,0.186726,2
8,9,0.195156,2
8,10,0.198824,2
8,11,0.196085,2
8,12,0.188907,2
8,13,0.212537,2
8,14,0.187106,2
8,15,0.191023,2
8,16,0.187986,2
8,17,0.195192,2
8,18,0.189112,2
8,19,0.190257,2
8,20,0.187862,2
8,21,0.250190,2
8,22,0.186769,2
8,23,0.187985,2
8,24,0.196499,2
8,25,0.190114,2
8,26,0.186107,2
8,27,0.188136,2
8,28,0.192417,2
8,29,0.206888,2
8,30,0.185736,2
8,31,0.190350,2
8,32,0.191470,2
8,33,0.209225,2
8,34,0.200680,2
8,35,0.189979,2
8,36,0.191776,2
8,37,0.207348,2
8,38,0.188630,2
8,39,0.187845,2
8,40,0.194570,2
8,41,0.189674,2
8,42,0.188648,2
8,43,0.185809,2
8,44,0.187325,2
8,45,0.188321,2
8,46,0.189215,2
8,47,0.186531,2
8,48,0.207240,2
8,49,0.189394,2
8,50,0.189499,2
8,1,0.279159,3
8,2,0.280583,3
8,3,0.279924,3
8,4,0.290836,3
8,5,0.288048,3
8,6,0.283229,3
8,7,0.282881,3
8,8,0.276924,3
8,9,0.278392,3
8,10,0.277732,3
8,11,0.278404,3
8,12,0.281914,3
8,13,0.283376,3
8,14,0.279995,3
8,15,0.283902,3
8,16,0.283239,3
8,17,0.284225,3
8,18,0.300503,3
8,19,0.321103,3
8,20,0.328361,3
8,21,0.304168,3
8,22,0.286819,3
8,23,0.292623,3
8,24,0.289346,3
8,25,0.283482,3
8,26,0.284080,3
8,27,0.286264,3
8,28,0.287600,3
8,29,0.278891,3
8,30,0.287818,3
8,31,0.288198,3
8,32,0.278221,3
8,33,0.276531,3
8,34,0.278576,3
8,35,0.280263,3
8,36,0.283385,3
8,37,0.279539,3
8,38,0.311048,3
8,39,0.288808,3
8,40,0.279631,3
8,41,0.304001,3
8,42,0.280971,3
8,43,0.283226,3
8,44,0.282266,3
8,45,0.278848,3
8,46,0.281199,3
8,47,0.283271,3
8,48,0.281006,3
8,49,0.283161,3
8,50,0.284758,3
8,1,0.136935,4
8,2,0.137532,4
8,3,0.186839,4
8,4,0.150980,4
8,5,0.156230,4
8,6,0.144725,4
8,7,0.137312,4
8,8,0.135972,4
8,9,0.140682,4
8,10,0.139418,4
8,11,0.141082,4
8,12,0.140722,4
8,13,0.147622,4
8,14,0.135395,4
8,15,0.136511,4
8,16,0.139102,4
8,17,0.135500,4
8,18,0.135047,4
8,19,0.135818,4
8,20,0.135254,4
8,21,0.136389,4
8,22,0.135747,4
8,23,0.136795,4
8,24,0.140085,4
8,25,0.137791,4
8,26,0.139255,4
8,27,0.143791,4
8,28,0.136461,4
8,29,0.136115,4
8,30,0.140147,4
8,31,0.139366,4
8,32,0.135283,4
8,33,0.135179,4
8,34,0.140936,4
8,35,0.134657,4
8,36,0.134457,4
8,37,0.135078,4
8,38,0.136067,4
8,39,0.138508,4
8,40,0.135092,4
8,41,0.138034,4
8,42,0.138035,4
8,43,0.135963,4
8,44,0.135796,4
8,45,0.136860,4
8,46,0.140415,4
8,47,0.135483,4
8,48,0.135392,4
8,49,0.137829,4
8,50,0.136114,4
8,1,0.461071,5
8,2,0.467818,5
8,3,0.453578,5
8,4,0.451995,5
8,5,0.457897,5
8,6,0.462993,5
8,7,0.503148,5
8,8,0.470916,5
8,9,0.467666,5
8,10,0.450338,5
8,11,0.454379,5
8,12,0.462396,5
8,13,0.462923,5
8,14,0.466883,5
8,15,0.456576,5
